Id,Label,timeset
11060,"HENDERSHOOT, COLONEL",
11061,"FREDERICKS, GENERAL",
11062,PENANCE/MONET ST. CR,
11063,SUPREME ONE,
11064,LUCIFER,
11065,UNUS THE UNTOUCHABLE,
11066,",""SUPREME ONE",
11067,",""BLOB/FRED J. DUKES",
11068,",""LUCIFER",
11069,",""UNUS THE UNTOUCHABLE",
11070,DOMINUS,
11071,",""DOMINUS",
11072,MIMIC/CALVIN RANKIN,
11073,KUKULCAN/VIRAKO/QUET,
11074,TOLOC,
11075,RAMON,
11076,EL TIGRE,
11077,",""MIMIC/CALVIN RANKIN",
11078,",""KUKULCAN/VIRAKO/QUET",
11079,",""TOLOC",
11080,",""RAMON",
11081,",""EL TIGRE",
11082,PUPPET MASTER/PHILLI,
11083,",""PUPPET MASTER/PHILLI",
11084,LOCUST,
11085,",""LOCUST",
11086,",""BANSHEE/SEAN CASSIDY",
11087,",""OGRE",
11088,BANSHEE/SEAN CASSIDY,
11089,OGRE,
11090,SUPER-ADAPTOID/ALESS,
11091,LIVING MUMMY,
11092,HUMAN TORCH ANDROID/,
11093,BUCKY/BUCKY BARNES,
11094,"DEAN, BETTY",
11095,U-MAN/MERRANO,
11096,"CHURCHILL, SIR WINST",
11097,TORO/TOM RAYMOND,
11098,SPITFIRE/LADY JACQUE,
11099,WHIZZER/ROBERT L. FR,
11100,RED SKULL/JOHANN SCH,
11101,BARON STRUCKER/WOLFG,
11102,"PRENTISS, BETTY DEAN",
11103,"HORTON, PROFESSOR PH",
11104,"FITZPATRICK, WILL",
11105,UNION JACK II/BRIAN,
11106,",""TORO/TOM RAYMOND",
11107,",""WHIZZER/ROBERT L. FR",
11108,",""SUB-MARINER/NAMOR MA",
11109,",""RED SKULL/JOHANN SCH",
11110,",""BARON STRUCKER/WOLFG",
11111,",""PRENTISS, BETTY DEAN",
11112,",""HUMAN TORCH ANDROID/",
11113,",""HORTON, PROFESSOR PH",
11114,",""FITZPATRICK, WILL",
11115,JACK FROST/,
11116,MISS AMERICA/MADELIN,
11117,THIN MAN/BRUCE DICKS,
11118,RED RAVEN,
11119,"KRIEGHUND, COL.",
11120,PATRIOT/JEFF MACE,
11121,BLUE DIAMOND/PROFESS,
11122,UNION JACK/LORD MONT,
11123,BARON BLOOD/JOHN FAL,
11124,ZAWADI,
11125,BLOODSTONE/ULYSSES B,
11126,GORGILLA,
11127,GROTTU,
11128,MOLE MAN/HARVEY RUPE,
11129,MAKKARI/MIKE KHARY/I,
11130,"ZINOVIEV, IVAN",
11131,KRO [DEVIANT],
11132,VALKIN,
11133,GIGANTUS,
11134,"GEORGE, DAVID LLOYD",
11135,"DELGADO, FATHER",
11136,CLOAK/TYRONE JOHNSON,
11137,MAYHEM/DET. BRIGID O,
11138,DAGGER/TANDY BOWEN,
11139,HEATER DELIGHT,
11140,STARFOX/EROS,
11141,",""RADIOACTIVE MAN/DR.",
11142,",""MANDARIN",
11143,MANDARIN,
11144,RADIOACTIVE MAN/DR.,
11145,",""TAURUS/CORNELIUS VAN",
11146,",""ERWIN, MORLEY",
11147,"ERWIN, MORLEY",
11148,TAURUS/CORNELIUS VAN,
11149,SIF,
11150,VOLLA,
11151,"CASE, COL. PRESTON",
11152,PERRIKUS,
11153,"BRADLEY, HANK",
11154,"COLLINS, DEMITRIUS",
11155,"KINCAID, DR. JANE FO",
11156,DESTROYER III,
11157,"FAIRMONT, AMANDA MAN",
11158,",""VOLLA",
11159,",""CASE, COL. PRESTON",
11160,",""PERRIKUS",
11161,",""BRADLEY, HANK",
11162,",""COLLINS, DEMITRIUS",
11163,",""KINCAID, DR. JANE FO",
11164,",""DESTROYER III",
11165,"FURY, COL. NICHOLAS",
11166,",""AQUARIUS II/",
11167,AQUARIUS II/,
11168,LEO/DANIEL RADFORD,
11169,VIRGO/ELAINE MCLAUGH,
11170,ARIES II/GROVER RAYM,
11171,SCORPIO II,
11172,PISCES/NOAH PERRICON,
11173,GEMINI/JOSHUA LINK,
11174,CANCER/JACK KLEVENO,
11175,SAGITTARIUS/HARLAN V,
11176,LIBRA/GUSTAV BRANDT,
11177,CAPRICORN/WILLARD WE,
11178,",""VIRGO/ELAINE MCLAUGH",
11179,",""ARIES II/GROVER RAYM",
11180,",""SCORPIO II",
11181,",""PISCES/NOAH PERRICON",
11182,",""GEMINI/JOSHUA LINK",
11183,VIBRO/DR. FRANCIS VI,
11184,BROTHERS GRIMM II/BA,
11185,",""VIBRO/DR. FRANCIS VI",
11186,",""MORLEY",
11187,MORLEY,
11188,"STANE, OBADIAH",
11189,",""BROTHERS GRIMM II/BA",
11190,MASTER MOLD II,
11191,MASTER MOLD III,
11192,"GILBERTI, ROSE",
11193,"CREED, GRAYDON",
11194,"BRIDGE, GEORGE WASHI",
11195,"KRAGG, GEN.",
11196,"BRICKMAN, SEN. MILES",
11197,",""MAJESTON ZELIA",
11198,",""ADVA",
11199,",""DIAMOND, CHUCKY",
11200,",""KINCAID, DR. KEITH",
11201,",""FAIRMONT, HANNAH",
11202,MAJESTON ZELIA,
11203,ADVA,
11204,"DIAMOND, CHUCKY",
11205,"KINCAID, DR. KEITH",
11206,"FERRARI, CONNIE",
11207,"CHAKARA, KANU",
11208,"CHAKARA, MADAN",
11209,"MOSLEY, WARDEN",
11210,KLAW/ULYSSES KLAW,
11211,LYJA LAZERFIST [SKRU,
11212,DEVLOR,
11213,VIBRAXAS/N'KANO,
11214,"RICHARDS, NATHANIEL",
11215,PSI-LORD/FRANKLIN BE,
11216,ANT-MAN II/SCOTT HAR,
11217,KRISTOFF/KRISTOFF VE,
11218,HUNTARA/MARY ELIZABE,
11219,WHITE TIGER/HECTOR A,
11220,SHA SHAN,
11221,",""THOMPSON, EUGENE FLA",
11222,TARANTULA/ANTON MIGU,
11223,LIGHTMASTER/EDWARD L,
